valid_json,schema_score,topology_score,domain_accuracy,numerical_accuracy,categorical_accuracy,math_accuracy,semantic_score,chart_id,chart_type,complexity
True,1.0,1.0,0.8,0.7858589327339328,1.0,,0.024615384615384615,123876,Area Chart,High
True,1.0,1.0,0.5,,,,,134876,Scatter Plot,High
True,1.0,0.0,1.0,0.7378917378917379,1.0,,0.6384615384615385,92757,Line Chart,High
True,1.0,1.0,1.0,1.0,,,0.95875,77668,Line Chart,Low
True,1.0,1.0,0.5,0.9218888888888889,1.0,,,115576,Scatter Plot,High
True,1.0,1.0,1.0,,,,0.03125,123158,Bar Chart,High
True,1.0,0.0,0.75,0.0,,,0.045714285714285714,147614,Bar Chart,Medium
True,1.0,1.0,1.0,0.7454325101060797,,,0.0,158057,Histogram,Medium
True,1.0,0.0,1.0,0.0,1.0,,0.085,115345,Bar Chart,Low
True,1.0,1.0,1.0,0.4444444444444444,,,0.205625,58885,Line Chart,High
True,1.0,1.0,1.0,1.0,1.0,,,106947,Scatter Plot,Low
True,1.0,0.0,0.75,0.0,,,0.04428571428571428,155731,Bar Chart,Medium
True,1.0,1.0,1.0,1.0,,,0.9328571428571429,144582,Line Chart,Medium
True,1.0,1.0,0.8571428571428571,0.7435146311473402,1.0,,,50305,Scatter Plot,Medium
True,1.0,1.0,1.0,0.5,,,0.4876923076923077,83340,Line Chart,High
True,1.0,1.0,1.0,0.8837838669950739,,,,110352,Scatter Plot,Low
True,1.0,1.0,0.75,1.0,,,,108038,Scatter Plot,Low
True,1.0,1.0,1.0,0.9161767942057273,,,,65920,Scatter Plot,Low
True,1.0,1.0,0.8333333333333334,0.9375,1.0,,0.8076923076923077,56980,Line Chart,High
True,1.0,1.0,0.75,0.6477296919536369,,,0.036153846153846154,110946,Line Chart,High
True,0.7142857142857143,0.0,0.8571428571428571,,,0.0,0.0,103900,Line Chart,Medium
True,1.0,1.0,1.0,,,,0.05500000000000001,130496,Area Chart,Medium
True,1.0,1.0,0.8571428571428571,0.32041176470588234,1.0,,0.5,49375,Box Plot,Low
True,1.0,1.0,1.0,0.548608630952381,1.0,,,92155,Scatter Plot,Medium
True,1.0,1.0,0.75,0.9789583333333334,,,,111599,Scatter Plot,Low
True,1.0,1.0,,1.0,,,,157289,Pie Chart,Low
True,1.0,1.0,0.125,0.6251637172086705,0.0,,0.49333333333333335,51220,Box Plot,Medium
True,1.0,1.0,0.5,0.1312338124838125,0.3333333333333333,,,93772,Scatter Plot,Medium
True,0.4714285714285714,1.0,0.0,0.00501002004008016,,,,148167,Scatter Plot,Low
True,1.0,1.0,0.5,0.7728776844070963,,,0.83375,126374,Bar Chart,High
True,1.0,1.0,1.0,0.6430861673283729,,,0.031,130382,Area Chart,Medium
True,1.0,0.0,0.8571428571428571,0.5547056677890011,1.0,,0.13999999999999999,136552,Box Plot,Medium
True,1.0,1.0,0.8333333333333334,1.0,,,0.95875,71283,Line Chart,High
True,1.0,1.0,0.6,0.3,1.0,,0.3333333333333333,122747,Area Chart,Low
True,1.0,1.0,0.5,0.5424829045074318,1.0,,0.15,51043,Box Plot,Low
True,1.0,1.0,1.0,1.0,1.0,,,106997,Scatter Plot,Low
True,1.0,1.0,1.0,1.0,1.0,,0.3333333333333333,132703,Area Chart,Low
True,1.0,1.0,1.0,0.8932631988911827,1.0,,0.5661538461538462,157159,Bar Chart,High
True,1.0,1.0,1.0,,,,0.0,132787,Area Chart,Low
True,1.0,0.0,1.0,,,,0.0,134934,Bar Chart,Low
True,1.0,1.0,,0.9986666662041402,,,,62738,Pie Chart,Low
True,1.0,1.0,0.875,0.8394302456802457,1.0,,0.47428571428571425,105498,Line Chart,Medium
True,1.0,1.0,,1.0,,,,153505,Pie Chart,Low
True,1.0,1.0,,0.9954497600811226,,,,70742,Pie Chart,Low
True,1.0,1.0,0.5,0.9256350267379678,1.0,,0.718125,51014,Bar Chart,High
True,1.0,0.0,1.0,0.9362689576505366,1.0,,0.49076923076923074,156198,Bar Chart,High
True,0.8333333333333334,1.0,0.5,,,0.0,,146303,Line Chart,High
True,1.0,0.0,1.0,0.5213282893802682,1.0,,0.0825,68948,Line Chart,High
True,1.0,1.0,1.0,0.6805555555555556,0.8,,0.865263157894737,145078,Bar Chart,High
True,1.0,0.0,1.0,,,,0.02769230769230769,157998,Bar Chart,High
True,1.0,1.0,1.0,,,,0.018125,69041,Area Chart,High
True,1.0,1.0,,0.9985167248718355,,,,104489,Pie Chart,Low
True,1.0,1.0,1.0,0.7526503111298434,1.0,,0.455625,67041,Line Chart,High
True,1.0,1.0,1.0,0.6666666666666667,,,0.32857142857142857,54981,Area Chart,Medium
True,1.0,1.0,,1.0,,,,109309,Pie Chart,Low
True,1.0,1.0,0.0,0.3745456614748065,0.0,,0.4869230769230769,158984,Bar Chart,High
True,1.0,0.0,0.8571428571428571,0.7441637393252982,1.0,,0.64,83280,Line Chart,High
True,1.0,1.0,0.8571428571428571,0.7457885608356942,1.0,,0.716923076923077,80753,Line Chart,High
True,1.0,0.0,0.8571428571428571,0.03448275862068964,0.0,,0.016875,77170,Line Chart,Medium
True,1.0,1.0,0.8571428571428571,1.0,1.0,,1.0,91294,Line Chart,Low
True,0.4,0.0,1.0,,,,0.0,77280,Line Chart,Low
True,1.0,1.0,0.8888888888888888,,,,0.0,115851,Line Chart,Low
True,1.0,1.0,1.0,0.4977689031552172,1.0,,0.48615384615384616,92770,Line Chart,High
True,1.0,1.0,0.75,,,,,88489,Scatter Plot,Medium
True,1.0,1.0,0.5,0.9916666666666667,1.0,,0.836875,99105,Bar Chart,High
